,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,FactValueNumeric,Value,Language,DateModified
71,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2021,True,279.9,279.91,EN,2023-12-05 00:00:00
72,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,SUR,Suriname,Year,2021,True,298.9,298.93,EN,2023-12-05 00:00:00
73,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,CYP,Cyprus,Year,2021,True,2990.0,2989.65,EN,2023-12-05 00:00:00
74,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2021,True,299.1,299.07,EN,2023-12-05 00:00:00
75,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2021,True,307.1,307.13,EN,2023-12-05 00:00:00
76,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,BLZ,Belize,Year,2021,True,310.2,310.2,EN,2023-12-05 00:00:00
77,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2021,True,315.6,315.58,EN,2023-12-05 00:00:00
78,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,SSD,South Sudan,Year,2021,True,32.68,32.68,EN,2023-12-05 00:00:00
79,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,ESP,Spain,Year,2021,True,3234.0,3234.29,EN,2023-12-05 00:00:00
80,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2021,True,3260.0,3260.45,EN,2023-12-05 00:00:00
81,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,ITA,Italy,Year,2021,True,3350.0,3349.6,EN,2023-12-05 00:00:00
82,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,NER,Niger,Year,2021,True,34.34,34.34,EN,2023-12-05 00:00:00
83,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,GTM,Guatemala,Year,2021,True,341.0,340.96,EN,2023-12-05 00:00:00
84,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,BEN,Benin,Year,2021,True,35.13,35.13,EN,2023-12-05 00:00:00
85,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,TCD,Chad,Year,2021,True,35.63,35.63,EN,2023-12-05 00:00:00
86,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,AND,Andorra,Year,2021,True,3506.0,3505.99,EN,2023-12-05 00:00:00
87,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,THA,Thailand,Year,2021,True,364.4,364.37,EN,2023-12-05 00:00:00
88,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,MLT,Malta,Year,2021,True,3642.0,3641.62,EN,2023-12-05 00:00:00
89,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,UKR,Ukraine,Year,2021,True,368.0,367.98,EN,2023-12-05 00:00:00
90,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,TZA,United Republic of Tanzania,Year,2021,True,37.16,37.16,EN,2023-12-05 00:00:00
91,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,JAM,Jamaica,Year,2021,True,372.5,372.45,EN,2023-12-05 00:00:00
92,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2021,True,392.5,392.54,EN,2023-12-05 00:00:00
93,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2021,True,393.4,393.35,EN,2023-12-05 00:00:00
94,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2021,True,3970.0,3969.89,EN,2023-12-05 00:00:00
95,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,MLI,Mali,Year,2021,True,40.12,40.12,EN,2023-12-05 00:00:00
96,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2021,True,403.0,402.98,EN,2023-12-05 00:00:00
97,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2021,True,410.1,410.12,EN,2023-12-05 00:00:00
98,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,PER,Peru,Year,2021,True,412.2,412.21,EN,2023-12-05 00:00:00
99,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,SMR,San Marino,Year,2021,True,4132.0,4131.94,EN,2023-12-05 00:00:00
100,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2021,True,416.9,416.9,EN,2023-12-05 00:00:00
101,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,GEO,Georgia,Year,2021,True,417.1,417.07,EN,2023-12-05 00:00:00
102,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2021,True,42.93,42.93,EN,2023-12-05 00:00:00
103,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2021,True,43.09,43.09,EN,2023-12-05 00:00:00
104,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2021,True,43.16,43.16,EN,2023-12-05 00:00:00
105,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,UGA,Uganda,Year,2021,True,43.45,43.45,EN,2023-12-05 00:00:00
106,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,ISR,Israel,Year,2021,True,4339.0,4338.94,EN,2023-12-05 00:00:00
107,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2021,True,4347.0,4347.34,EN,2023-12-05 00:00:00
108,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2021,True,44.52,44.52,EN,2023-12-05 00:00:00
109,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,GIN,Guinea,Year,2021,True,44.69,44.69,EN,2023-12-05 00:00:00
110,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,TUR,Türkiye,Year,2021,True,441.1,441.06,EN,2023-12-05 00:00:00
111,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,SLV,El Salvador,Year,2021,True,442.2,442.21,EN,2023-12-05 00:00:00
112,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2021,True,448.3,448.31,EN,2023-12-05 00:00:00
113,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,NAM,Namibia,Year,2021,True,456.4,456.44,EN,2023-12-05 00:00:00
114,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,BWA,Botswana,Year,2021,True,457.5,457.46,EN,2023-12-05 00:00:00
115,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,MWI,Malawi,Year,2021,True,46.56,46.56,EN,2023-12-05 00:00:00
116,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,ALB,Albania,Year,2021,True,464.7,464.74,EN,2023-12-05 00:00:00
117,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,BLR,Belarus,Year,2021,True,467.5,467.52,EN,2023-12-05 00:00:00
118,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,GUY,Guyana,Year,2021,True,470.6,470.57,EN,2023-12-05 00:00:00
119,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,PRY,Paraguay,Year,2021,True,478.7,478.71,EN,2023-12-05 00:00:00
120,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,DMA,Dominica,Year,2021,True,482.4,482.43,EN,2023-12-05 00:00:00
121,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2021,True,487.0,487.01,EN,2023-12-05 00:00:00
122,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,WPR,Western Pacific,Country,NZL,New Zealand,Year,2021,True,4906.0,4906.07,EN,2023-12-05 00:00:00
123,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2021,True,494.3,494.31,EN,2023-12-05 00:00:00
124,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,GRD,Grenada,Year,2021,True,505.4,505.4,EN,2023-12-05 00:00:00
125,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,FRA,France,Year,2021,True,5381.0,5380.88,EN,2023-12-05 00:00:00
126,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,TGO,Togo,Year,2021,True,54.15,54.15,EN,2023-12-05 00:00:00
127,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,FIN,Finland,Year,2021,True,5488.0,5487.88,EN,2023-12-05 00:00:00
128,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,COL,Colombia,Year,2021,True,557.5,557.54,EN,2023-12-05 00:00:00
129,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2021,True,56.95,56.95,EN,2023-12-05 00:00:00
130,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,MKD,North Macedonia,Year,2021,True,560.3,560.31,EN,2023-12-05 00:00:00
131,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,MUS,Mauritius,Year,2021,True,564.9,564.9,EN,2023-12-05 00:00:00
132,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,TKM,Turkmenistan,Year,2021,True,565.3,565.26,EN,2023-12-05 00:00:00
133,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,BEL,Belgium,Year,2021,True,5680.0,5680.23,EN,2023-12-05 00:00:00
134,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,HTI,Haiti,Year,2021,True,57.88,57.88,EN,2023-12-05 00:00:00
135,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,True,57.94,57.94,EN,2023-12-05 00:00:00
136,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2021,True,5738.0,5738.48,EN,2023-12-05 00:00:00
137,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2021,True,583.7,583.67,EN,2023-12-05 00:00:00
138,GHED_CHE_pc_US_SHA2011,Current health expenditure (CHE) per capita in US$,numeric,AMR,Americas,Country,LCA,Saint Lucia,Year,2021,True,584.7,584.67,EN,2023-12-05 00:00:00
