,Unnamed: 0,index,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value
17,17,17,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2020,True,Sex,Female,SEX_FMLE,0.03,0.0,0.12,0.0 [0.0 - 0.1]
18,18,18,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,True,Sex,Female,SEX_FMLE,0.02,0.0,0.089,0.0 [0.0 - 0.1]
19,19,19,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,NER,Niger,Year,2020,True,Sex,Female,SEX_FMLE,0.03,0.0,0.13,0.0 [0.0 - 0.1]
20,20,20,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,True,Sex,Female,SEX_FMLE,0.02,0.0,0.12,0.0 [0.0 - 0.1]
21,21,21,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.01,0.0,0.12,0.0 [0.0 - 0.1]
22,22,22,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,True,Sex,Female,SEX_FMLE,0.02,0.0,0.11,0.0 [0.0 - 0.1]
23,23,23,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,True,Sex,Female,SEX_FMLE,0.01,0.0,0.068,0.0 [0.0 - 0.1]
24,24,24,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2020,True,Sex,Male,SEX_MLE,0.02,0.0,0.2,0.0 [0.0 - 0.2]
25,25,25,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.01,0.0,0.17,0.0 [0.0 - 0.2]
26,26,26,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2020,True,Sex,Male,SEX_MLE,0.02,0.0,0.21,0.0 [0.0 - 0.2]
27,27,27,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2020,True,Sex,Male,SEX_MLE,0.02,0.0,0.31,0.0 [0.0 - 0.3]
28,28,28,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.04,0.0,0.29,0.0 [0.0 - 0.3]
29,29,29,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,True,Sex,Female,SEX_FMLE,0.06,0.0,0.23,0.1 [0.0 - 0.2]
30,30,30,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,COM,Comoros,Year,2020,True,Sex,Female,SEX_FMLE,0.05,0.0,0.16,0.1 [0.0 - 0.2]
31,31,31,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2020,True,Sex,Female,SEX_FMLE,0.06,0.0,0.2,0.1 [0.0 - 0.2]
32,32,32,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2020,True,Sex,Female,SEX_FMLE,0.05,0.0,0.18,0.1 [0.0 - 0.2]
33,33,33,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,True,Sex,Female,SEX_FMLE,0.07,0.0002,0.22,0.1 [0.0 - 0.2]
34,34,34,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,True,Sex,Female,SEX_FMLE,0.06,0.0,0.21,0.1 [0.0 - 0.2]
35,35,35,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,DZA,Algeria,Year,2020,True,Sex,Female,SEX_FMLE,0.12,0.002,0.29,0.1 [0.0 - 0.3]
36,36,36,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2020,True,Sex,Female,SEX_FMLE,0.09,0.0,0.26,0.1 [0.0 - 0.3]
37,37,37,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,GIN,Guinea,Year,2020,True,Sex,Female,SEX_FMLE,0.15,0.003,0.35,0.1 [0.0 - 0.3]
38,38,38,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2020,True,Sex,Female,SEX_FMLE,0.1,0.0,0.32,0.1 [0.0 - 0.3]
39,39,39,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2020,True,Sex,Female,SEX_FMLE,0.12,0.0,0.31,0.1 [0.0 - 0.3]
40,40,40,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2020,True,Sex,Female,SEX_FMLE,0.1,0.0,0.28,0.1 [0.0 - 0.3]
41,41,41,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,SEN,Senegal,Year,2020,True,Sex,Female,SEX_FMLE,0.1,0.0,0.29,0.1 [0.0 - 0.3]
42,42,42,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.09,0.0,0.38,0.1 [0.0 - 0.4]
43,43,43,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.07,0.0,0.36,0.1 [0.0 - 0.4]
44,44,44,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.08,0.0,0.43,0.1 [0.0 - 0.4]
45,45,45,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.09,0.0,0.44,0.1 [0.0 - 0.4]
46,46,46,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,WPR,Western Pacific,Country,TON,Tonga,Year,2020,True,Sex,Female,SEX_FMLE,0.12,0.0,0.38,0.1 [0.0 - 0.4]
47,47,47,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.13,0.0,0.5,0.1 [0.0 - 0.5]
48,48,48,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,NER,Niger,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.13,0.0,0.51,0.1 [0.0 - 0.5]
49,49,49,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,True,Sex,Male,SEX_MLE,0.08,0.0,0.52,0.1 [0.0 - 0.5]
50,50,50,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,True,Sex,Male,SEX_MLE,0.13,0.0,0.62,0.1 [0.0 - 0.6]
51,51,51,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,True,Sex,Male,SEX_MLE,0.15,0.0,0.73,0.1 [0.0 - 0.7]
52,52,52,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,GMB,Gambia,Year,2020,True,Sex,Female,SEX_FMLE,0.19,0.004,0.45,0.2 [0.0 - 0.4]
53,53,53,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EUR,Europe,Country,TJK,Tajikistan,Year,2020,True,Sex,Female,SEX_FMLE,0.2,0.014,0.42,0.2 [0.0 - 0.4]
54,54,54,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2020,True,Sex,Female,SEX_FMLE,0.2,0.0,0.48,0.2 [0.0 - 0.5]
55,55,55,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2020,True,Sex,Female,SEX_FMLE,0.23,0.043,0.48,0.2 [0.0 - 0.5]
56,56,56,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2020,True,Sex,Female,SEX_FMLE,0.17,0.0,0.65,0.2 [0.0 - 0.6]
57,57,57,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.17,0.0,0.57,0.2 [0.0 - 0.6]
58,58,58,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2020,True,Sex,Male,SEX_MLE,0.16,0.0,0.67,0.2 [0.0 - 0.7]
59,59,59,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.18,0.0,0.75,0.2 [0.0 - 0.7]
60,60,60,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,COM,Comoros,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.23,0.0,0.74,0.2 [0.0 - 0.7]
61,61,61,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.24,0.0,0.78,0.2 [0.0 - 0.8]
62,62,62,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.23,0.0,0.75,0.2 [0.0 - 0.8]
63,63,63,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2020,True,Sex,Female,SEX_FMLE,0.25,0.0,0.76,0.2 [0.0 - 0.8]
64,64,64,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,True,Sex,Male,SEX_MLE,0.17,0.0,0.79,0.2 [0.0 - 0.8]
65,65,65,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2020,True,Sex,Male,SEX_MLE,0.23,0.0,0.88,0.2 [0.0 - 0.9]
66,66,66,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,NER,Niger,Year,2020,True,Sex,Male,SEX_MLE,0.22,0.0,0.88,0.2 [0.0 - 0.9]
67,67,67,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2020,True,Sex,Female,SEX_FMLE,0.26,0.004,0.57,0.3 [0.0 - 0.6]
68,68,68,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2020,True,Sex,Female,SEX_FMLE,0.27,0.024,0.58,0.3 [0.0 - 0.6]
69,69,69,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,ERI,Eritrea,Year,2020,True,Sex,Female,SEX_FMLE,0.32,0.034,0.67,0.3 [0.0 - 0.7]
70,70,70,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.29,0.0008,0.88,0.3 [0.0 - 0.9]
71,71,71,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2020,True,Sex,Male,SEX_MLE,0.27,0.0,0.92,0.3 [0.0 - 0.9]
72,72,72,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,True,Sex,Male,SEX_MLE,0.3,0.0,1.19,0.3 [0.0 - 1.2]
73,73,73,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2020,True,Sex,Female,SEX_FMLE,0.34,0.085,0.65,0.3 [0.1 - 0.7]
74,74,74,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,MDG,Madagascar,Year,2020,True,Sex,Female,SEX_FMLE,0.34,0.051,0.72,0.3 [0.1 - 0.7]
75,75,75,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.38,0.0,0.98,0.4 [0.0 - 1.0]
76,76,76,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,SEN,Senegal,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.38,0.0,1.05,0.4 [0.0 - 1.1]
77,77,77,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,WPR,Western Pacific,Country,TON,Tonga,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.36,0.0,1.1,0.4 [0.0 - 1.1]
78,78,78,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,COM,Comoros,Year,2020,True,Sex,Male,SEX_MLE,0.4,0.0,1.3,0.4 [0.0 - 1.3]
79,79,79,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2020,True,Sex,Male,SEX_MLE,0.39,0.0,1.28,0.4 [0.0 - 1.3]
80,80,80,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2020,True,Sex,Male,SEX_MLE,0.42,0.0,1.35,0.4 [0.0 - 1.4]
81,81,81,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,ARE,United Arab Emirates,Year,2020,True,Sex,Female,SEX_FMLE,0.35,0.13,0.65,0.4 [0.1 - 0.6]
82,82,82,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EUR,Europe,Country,TUR,Türkiye,Year,2020,True,Sex,Female,SEX_FMLE,0.41,0.12,0.74,0.4 [0.1 - 0.7]
83,83,83,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,SEAR,South-East Asia,Country,NPL,Nepal,Year,2020,True,Sex,Female,SEX_FMLE,0.37,0.067,0.8,0.4 [0.1 - 0.8]
84,84,84,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2020,True,Sex,Female,SEX_FMLE,0.38,0.063,0.75,0.4 [0.1 - 0.8]
85,85,85,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2020,True,Sex,Female,SEX_FMLE,0.41,0.075,0.79,0.4 [0.1 - 0.8]
86,86,86,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2020,True,Sex,Female,SEX_FMLE,0.4,0.099,0.79,0.4 [0.1 - 0.8]
87,87,87,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,DZA,Algeria,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.54,0.008,1.25,0.5 [0.0 - 1.2]
88,88,88,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,GIN,Guinea,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.52,0.01,1.23,0.5 [0.0 - 1.2]
89,89,89,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.5,0.0,1.27,0.5 [0.0 - 1.3]
90,90,90,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.51,0.0,1.36,0.5 [0.0 - 1.4]
91,91,91,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2020,True,Sex,Both sexes,SEX_BTSX,0.51,0.0,1.46,0.5 [0.0 - 1.5]
92,92,92,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,AFR,Africa,Country,SLE,Sierra Leone,Year,2020,True,Sex,Male,SEX_MLE,0.52,0.001,1.54,0.5 [0.0 - 1.5]
93,93,93,SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2), three-year average ",text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2020,True,Sex,Both sexes,SEX_BTSX,0.51,0.0,1.78,0.5 [0.0 - 1.8]
