Country Code,Location,Sex,LtrsPureAlcConsumedAvg,LtrsPureAlcConsumedLow,LtrsPureAlcConsumedAvgHigh,TobaccoUse(%),TobaccoUseLow(%),TobaccoUseHigh(%),ParentLocationCode,ParentLocation,ObesityPrevalence(%),ObesityPrevalenceLow(%),ObesityPrevalenceHigh(%),Year,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
ISR,Israel,Female,1.29,0.65,2.06,16.2,13.2,19.3,EUR,Europe,22.42,20.25,24.75,2014,24.88413884,126.93594143
JAM,Jamaica,Female,1.34,0.61,2.12,4.6,2.9,6.3,AMR,Americas,40.67,37.68,43.68,2014,37.21326368,226.63598747
MDV,Maldives,All,1.39,0.14,2.9,30.3,23.5,37.1,SEAR,South-East Asia,12.19,10.94,13.57,2014,42.17804667,112.18003977
QAT,Qatar,Male,1.39,0.33,2.59,22.6,18.5,26.6,EMR,Eastern Mediterranean,34.94,30.73,39.39,2014,15.00579374,13.81695153
KAZ,Kazakhstan,Female,1.36,0.75,2.04,8.3,6.8,9.7,EUR,Europe,18.88,16.81,21.08,2014,28.01754327,187.93901563
GTM,Guatemala,All,1.72,0.56,2.92,12.5,8.8,16.1,AMR,Americas,21.33,19.78,22.86,2014,16.53321681,80.7875987
BHS,Bahamas,Female,1.85,0.079,3.72,2.7,1.9,3.6,AMR,Americas,47.02,42.98,51.08,2014,35.0931677,177.65898907
SGP,Singapore,All,1.92,0.66,3.35,16.6,12.5,20.6,WPR,Western Pacific,8.96,8.08,9.96,2014,30.72873828,144.77855521
COL,Colombia,Female,1.95,1.14,2.81,5.4,4.3,6.4,AMR,Americas,23.84,22.23,25.43,2014,34.22567246,133.80270872
ECU,Ecuador,Female,1.87,1.05,2.77,3.4,2.3,4.6,AMR,Americas,26.64,24.84,28.44,2014,24.64631422,87.26107557
BLZ,Belize,Male,10.06,5.78,14.46,17.7,13.1,22.4,AMR,Americas,27.12,23.77,30.67,2014,21.1028632,112.78174183
PRT,Portugal,All,10.29,7.21,13.28,25.5,20.5,30.5,EUR,Europe,19.24,17.68,20.94,2014,30.68457218,310.41060999
SVK,Slovakia,All,10.32,7.35,13.53,31.9,23.6,40.2,EUR,Europe,21.87,19.76,24.07,2014,44.57882949,422.41156421
DOM,Dominican Republic,Male,10.41,6.25,14.64,16.3,12.4,20.2,AMR,Americas,18.37,16.35,20.5,2014,24.15918229,126.26862752
GBR,United Kingdom of Great Britain and Northern Ireland,All,10.44,7.46,13.5,19.3,16.3,22.3,EUR,Europe,25.16,24.54,25.8,2014,27.11448064,239.40058163
HUN,Hungary,All,10.52,7.08,13.83,33.8,26.6,40.9,EUR,Europe,26.39,24.74,28.05,2014,49.7086487,636.35740774
AUS,Australia,All,10.46,7.66,13.39,15.9,13.4,18.4,WPR,Western Pacific,26.55,25.39,27.73,2014,29.34561792,191.74921454
NOR,Norway,Male,10.62,6.93,14.7,21.3,18.0,24.7,EUR,Europe,18.0,15.38,20.88,2014,27.82321565,212.02967409
PAN,Panama,Male,10.7,7.0,14.48,11.6,9.4,13.7,AMR,Americas,22.43,19.72,25.32,2014,27.60965332,147.28909892
UKR,Ukraine,All,10.65,7.25,14.06,28.5,24.4,32.6,EUR,Europe,22.17,19.85,24.65,2014,67.31135418,993.67588003
SYC,Seychelles,All,10.68,7.28,14.25,22.7,16.4,29.0,AFR,Africa,25.83,23.15,28.57,2014,27.86206897,221.10574765
JPN,Japan,Male,10.84,7.19,14.71,34.6,29.4,39.8,WPR,Western Pacific,5.19,4.71,5.72,2014,24.50335739,265.07429433
CHE,Switzerland,All,10.87,7.92,14.01,26.4,22.0,30.8,EUR,Europe,11.8,10.74,12.91,2014,32.83748023,255.55684729
KGZ,Kyrgyzstan,Male,11.19,7.36,15.44,52.2,40.7,63.8,EUR,Europe,18.39,14.98,22.01,2014,45.84124763,317.69202683
BGR,Bulgaria,All,11.18,8.23,14.26,41.4,33.5,49.2,EUR,Europe,18.22,16.68,19.83,2014,65.86294882,993.35023317
SVN,Slovenia,All,11.27,8.29,14.44,21.8,18.0,25.6,EUR,Europe,16.6,15.79,17.44,2014,41.05686752,376.1114423
LVA,Latvia,All,11.4,7.75,15.21,37.1,30.7,43.5,EUR,Europe,22.2,19.48,25.17,2014,56.98734087,806.05602819
MLT,Malta,Male,11.49,7.2,16.16,30.3,24.4,36.1,EUR,Europe,32.6,28.07,37.33,2014,34.86404834,270.12223382
IRL,Ireland,All,11.49,8.33,14.6,23.4,19.0,27.7,EUR,Europe,25.66,23.82,27.53,2014,30.26117872,191.31831547
POL,Poland,All,11.58,8.27,14.84,27.6,23.1,32.0,EUR,Europe,23.17,22.0,24.36,2014,45.08602348,446.59609599
BEL,Belgium,All,11.56,8.36,14.58,28.0,23.0,33.1,EUR,Europe,18.17,16.65,19.75,2014,28.60388526,266.88558576
FRA,France,All,11.73,8.55,15.15,34.5,27.9,41.2,EUR,Europe,11.32,10.62,12.05,2014,25.00651833,212.3672163
ISL,Iceland,Male,11.75,7.74,15.75,14.1,11.5,16.6,EUR,Europe,20.2,16.81,23.82,2014,34.50905624,220.39305457
MDA,Republic of Moldova,All,11.8,7.83,15.71,28.1,23.3,32.9,EUR,Europe,22.99,21.25,24.8,2014,57.85688965,642.50419737
LUX,Luxembourg,All,11.76,8.75,14.87,24.9,20.5,29.4,EUR,Europe,18.19,16.24,20.19,2014,31.3900135,209.05271975
PER,Peru,Male,11.92,7.61,16.27,18.9,14.4,23.3,AMR,Americas,15.78,14.87,16.7,2014,17.94341991,62.14080282
BLR,Belarus,All,11.96,8.78,15.17,33.4,27.0,39.8,EUR,Europe,21.1,18.98,23.27,2014,55.51414326,712.15284884
MUS,Mauritius,Male,12.24,7.78,16.68,40.8,30.5,51.1,AFR,Africa,11.16,9.43,13.02,2014,30.55769231,263.30921185
RUS,Russian Federation,All,12.16,8.74,15.65,30.0,25.0,35.1,EUR,Europe,22.67,21.24,24.17,2014,50.07824651,655.36109449
DEU,Germany,All,12.23,9.02,15.48,25.1,21.1,29.2,EUR,Europe,20.43,19.08,21.81,2014,38.93057686,417.44327478
AUT,Austria,All,12.33,9.19,15.44,31.5,25.5,37.6,EUR,Europe,14.31,12.83,15.86,2014,42.34524357,387.83080202
GRC,Greece,Male,12.35,8.31,16.46,42.9,34.9,50.9,EUR,Europe,24.94,22.74,27.15,2014,36.46192737,403.47418357
ITA,Italy,Male,12.45,8.55,16.49,27.9,23.4,32.3,EUR,Europe,16.87,15.19,18.59,2014,33.14906832,325.72389785
CHL,Chile,Male,12.5,8.65,16.42,36.3,29.7,42.9,AMR,Americas,26.01,23.78,28.26,2014,26.26586383,162.21150449
CYP,Cyprus,Male,12.62,8.32,17.09,51.4,40.5,62.3,EUR,Europe,23.67,17.48,30.4,2014,34.007542,239.40130368
CZE,Czechia,All,13.11,9.86,16.24,31.4,26.2,36.5,EUR,Europe,22.55,21.23,23.92,2014,46.01996877,462.02377759
BRA,Brazil,Male,13.35,9.01,18.0,18.7,15.2,22.2,AMR,Americas,17.22,16.0,18.48,2014,25.69986252,178.59461917
THA,Thailand,Male,13.36,8.96,18.03,40.2,33.8,46.7,SEAR,South-East Asia,7.84,6.75,9.02,2014,13.34556043,102.80213104
ARG,Argentina,Male,13.47,9.54,17.63,31.8,25.8,37.8,AMR,Americas,27.04,24.84,29.35,2014,27.09805149,216.80595446
LCA,Saint Lucia,Male,13.55,8.4,18.6,26.9,20.0,33.8,AMR,Americas,15.31,12.74,18.0,2014,29.43603851,243.71910803
KOR,Republic of Korea,Male,13.74,9.5,18.06,41.4,34.0,48.7,WPR,Western Pacific,4.76,4.42,5.12,2014,18.66807855,108.38446146
GEO,Georgia,All,14.02,9.57,18.37,32.0,25.7,38.4,EUR,Europe,28.72,26.63,30.91,2014,42.00501151,553.2331634
HRV,Croatia,Male,14.07,8.14,19.96,38.4,30.7,46.2,EUR,Europe,25.4,22.77,28.15,2014,41.30582816,504.05684619
ESP,Spain,Male,14.53,10.17,18.96,33.1,27.5,38.6,EUR,Europe,20.64,18.76,22.66,2014,26.58170074,234.59187467
SWE,Sweden,Male,14.83,10.03,19.91,34.6,28.9,40.4,EUR,Europe,15.55,13.61,17.62,2014,36.03130755,323.16818796
NLD,Netherlands (Kingdom of the),Male,14.85,10.41,19.37,27.0,22.9,31.2,EUR,Europe,13.42,11.29,15.74,2014,26.31516217,211.44121676
USA,United States of America,Male,14.9,10.53,19.37,32.2,26.2,38.1,AMR,Americas,36.99,35.5,38.53,2014,30.77300094,259.38201098
DNK,Denmark,Male,14.99,10.45,19.61,21.9,18.5,25.4,EUR,Europe,14.46,13.47,15.49,2014,23.9963862,218.18675343
LTU,Lithuania,All,14.96,11.43,18.41,34.6,27.0,42.2,EUR,Europe,23.44,20.19,26.79,2014,55.9549836,768.08257629
NZL,New Zealand,Male,15.2,10.82,19.98,17.5,14.8,20.2,WPR,Western Pacific,29.28,27.92,30.69,2014,32.7051633,228.75958156
FIN,Finland,Male,15.2,10.86,19.85,31.9,26.8,37.1,EUR,Europe,19.4,17.74,21.12,2014,36.71512527,353.52191931
ZAF,South Africa,Male,15.43,10.7,20.4,35.2,28.2,42.1,AFR,Africa,14.35,13.25,15.51,2014,14.851255,130.5152828
EST,Estonia,All,15.64,11.23,19.97,33.3,27.0,39.5,EUR,Europe,21.17,19.58,22.81,2014,53.32902392,627.59357801
CAN,Canada,Male,15.68,10.86,20.59,18.2,15.8,20.6,AMR,Americas,25.8,24.16,27.49,2014,26.85051353,198.52844676
AUS,Australia,Male,16.17,11.76,20.78,18.1,15.2,21.0,WPR,Western Pacific,26.94,25.29,28.76,2014,27.63942252,185.39492467
GBR,United Kingdom of Great Britain and Northern Ireland,Male,16.39,11.7,21.29,21.2,17.7,24.6,EUR,Europe,24.34,23.46,25.25,2014,28.0989747,246.09552216
SYC,Seychelles,Male,16.5,11.29,21.99,37.2,27.2,47.2,AFR,Africa,16.66,13.36,20.18,2014,25.41176471,238.52643668
SVK,Slovakia,Male,16.46,11.66,21.68,38.3,29.6,46.9,EUR,Europe,23.75,20.6,27.12,2014,39.77658691,399.13749946
PRT,Portugal,Male,16.6,11.76,21.47,32.2,26.3,38.2,EUR,Europe,18.67,16.4,21.16,2014,27.24213989,294.96990696
ROU,Romania,All,16.98,12.29,21.59,32.0,26.4,37.6,EUR,Europe,24.16,22.59,25.77,2014,58.49312651,748.81312941
CHE,Switzerland,Male,16.96,12.31,21.96,29.6,24.5,34.6,EUR,Europe,14.16,12.67,15.77,2014,30.69329363,233.68671786
HUN,Hungary,Male,17.13,11.53,22.71,38.4,30.6,46.3,EUR,Europe,27.88,25.43,30.43,2014,44.58962447,588.17959458
UKR,Ukraine,Male,17.76,12.01,23.36,44.8,38.5,51.1,EUR,Europe,17.22,13.75,21.0,2014,58.97525035,924.60221878
IRL,Ireland,Male,17.8,12.96,22.61,25.2,20.7,29.8,EUR,Europe,26.87,24.11,29.73,2014,29.85836074,194.19968163
SVN,Slovenia,Male,17.91,13.12,22.91,23.7,19.8,27.6,EUR,Europe,19.25,17.93,20.61,2014,33.34057341,300.56225702
LUX,Luxembourg,Male,18.01,13.27,22.91,27.4,22.6,32.2,EUR,Europe,19.76,16.85,22.8,2014,28.29598749,194.94227124
BEL,Belgium,Male,18.21,13.13,23.01,31.5,25.7,37.3,EUR,Europe,17.76,15.61,19.98,2014,26.5088505,247.63727632
BGR,Bulgaria,Male,18.31,13.49,23.34,45.3,36.8,53.8,EUR,Europe,19.76,17.38,22.28,2014,61.32262052,988.39327391
POL,Poland,Male,18.58,13.16,23.79,31.9,27.2,36.5,EUR,Europe,24.81,23.02,26.63,2014,40.2556808,428.41216754
FRA,France,Male,18.73,13.62,24.16,36.6,30.1,43.0,EUR,Europe,11.32,10.3,12.4,2014,22.93402974,202.27670184
LVA,Latvia,Male,18.95,12.9,25.36,51.2,42.4,59.9,EUR,Europe,21.3,17.11,25.71,2014,49.41358708,732.83114144
MDA,Republic of Moldova,Male,19.12,12.63,25.52,49.6,41.2,58.0,EUR,Europe,18.87,16.15,21.72,2014,49.8252936,600.10228684
DEU,Germany,Male,19.28,14.2,24.47,27.7,23.3,32.2,EUR,Europe,21.95,20.08,23.85,2014,35.17998783,374.18558308
AUT,Austria,Male,19.44,14.44,24.33,33.3,26.9,39.7,EUR,Europe,16.38,14.3,18.54,2014,37.31295425,334.34293855
BLR,Belarus,Male,19.87,14.64,25.2,52.5,42.8,62.2,EUR,Europe,17.38,14.43,20.45,2014,53.31951562,741.64556284
BHR,Bahrain,All,2.0,0.55,3.71,16.8,12.7,20.9,EMR,Eastern Mediterranean,32.65,28.74,36.79,2014,32.09647495,65.8013848
TUR,Türkiye,All,1.95,0.58,3.53,31.3,25.6,36.9,EUR,Europe,30.37,29.25,31.54,2014,40.05417059,199.0739174
MEX,Mexico,Female,2.0,1.08,3.0,8.2,6.9,9.5,AMR,Americas,34.97,33.65,36.27,2014,27.14072781,121.40903893
BIH,Bosnia and Herzegovina,Female,2.04,1.16,2.97,31.6,19.9,43.3,EUR,Europe,18.91,14.64,23.38,2014,54.40408627,490.61982593
KGZ,Kyrgyzstan,Female,1.98,1.27,2.79,3.8,3.1,4.5,EUR,Europe,23.7,20.96,26.4,2014,56.21100032,296.29800431
MDV,Maldives,Male,2.18,0.21,4.55,47.1,38.5,55.7,SEAR,South-East Asia,8.36,6.75,10.18,2014,43.38781575,114.65728466
ARM,Armenia,Female,2.17,1.26,3.12,1.8,1.4,2.2,EUR,Europe,26.23,23.87,28.58,2014,50.72248981,435.28968863
CUB,Cuba,Female,2.26,1.34,3.26,13.6,10.4,16.9,AMR,Americas,20.62,18.56,22.88,2014,39.4015131,307.68998129
PHL,Philippines,Female,2.27,1.38,3.3,6.6,5.4,7.8,WPR,Western Pacific,7.69,6.72,8.71,2014,35.99490264,166.70245696
UZB,Uzbekistan,All,2.39,1.04,3.79,19.6,15.1,24.1,EUR,Europe,22.87,21.3,24.42,2014,60.66799768,295.39624736
PRY,Paraguay,Female,2.36,1.43,3.4,5.9,4.3,7.5,AMR,Americas,29.32,24.94,33.85,2014,26.95740882,97.83975015
GUY,Guyana,Female,2.41,1.59,3.35,2.9,2.2,3.7,AMR,Americas,31.36,28.14,34.73,2014,39.99160722,249.21873978
BLZ,Belize,Female,2.68,1.54,3.87,2.2,1.5,3.0,AMR,Americas,46.06,42.29,49.79,2014,26.24223602,95.52394033
MUS,Mauritius,Female,2.69,1.72,3.74,3.4,2.5,4.4,AFR,Africa,22.42,20.07,24.85,2014,33.2232185,228.6486346
PAN,Panama,Female,2.65,1.72,3.7,2.6,2.0,3.1,AMR,Americas,34.51,31.43,37.6,2014,28.29602795,112.50370383
DOM,Dominican Republic,Female,2.74,1.66,3.88,8.7,6.5,10.8,AMR,Americas,28.88,26.55,31.33,2014,28.19462647,101.76093925
URY,Uruguay,Female,2.75,1.73,3.87,20.7,17.0,24.4,AMR,Americas,28.7,25.73,31.93,2014,29.34340869,262.44006218
BHR,Bahrain,Male,2.84,0.78,5.25,28.0,22.4,33.6,EMR,Eastern Mediterranean,28.7,23.59,34.16,2014,36.32478632,73.77676268
GTM,Guatemala,Male,2.83,0.91,4.81,22.9,16.2,29.6,AMR,Americas,16.49,13.94,19.25,2014,14.84592559,83.05814364
SLV,El Salvador,All,2.78,1.33,4.43,10.5,7.6,13.5,AMR,Americas,26.42,24.24,28.74,2014,15.50141431,92.27771064
SGP,Singapore,Male,2.93,1.0,5.13,28.0,21.3,34.8,WPR,Western Pacific,9.29,7.93,10.79,2014,31.25892675,161.05886744
LKA,Sri Lanka,All,2.86,1.38,4.47,22.1,17.6,26.6,SEAR,South-East Asia,6.51,5.83,7.23,2014,25.54823107,157.53413027
JPN,Japan,Female,2.93,1.92,4.1,11.0,9.1,12.9,WPR,Western Pacific,3.04,2.75,3.34,2014,29.37241908,279.47383951
CZE,Czechia,Male,20.83,15.64,25.87,35.6,30.0,41.3,EUR,Europe,24.46,22.54,26.52,2014,41.84778563,435.06219403
RUS,Russian Federation,Male,20.86,15.04,26.82,44.7,37.2,52.2,EUR,Europe,19.04,17.05,21.12,2014,44.94734921,648.45400096
GEO,Georgia,Male,23.67,16.13,31.05,57.2,45.8,68.7,EUR,Europe,25.51,22.46,28.78,2014,38.95215484,544.83030337
LTU,Lithuania,Male,24.6,18.76,30.46,46.4,36.6,56.1,EUR,Europe,23.13,18.4,28.15,2014,46.99651914,699.49064706
EST,Estonia,Male,25.63,18.48,32.76,41.4,33.6,49.2,EUR,Europe,20.89,18.52,23.4,2014,44.76892163,543.7205322
ROU,Romania,Male,27.28,19.61,34.83,41.3,34.6,47.9,EUR,Europe,24.75,22.38,27.19,2014,51.76317785,708.5834723
ISR,Israel,All,3.03,1.53,4.74,23.2,18.9,27.5,EUR,Europe,22.0,20.41,23.6,2014,23.92221959,122.78977929
ZAF,South Africa,Female,3.05,2.08,4.11,7.8,6.2,9.5,AFR,Africa,41.35,39.74,42.98,2014,20.00921676,155.62922323
NOR,Norway,Female,3.13,1.98,4.38,19.7,16.6,22.7,EUR,Europe,15.86,13.25,18.65,2014,30.19991287,244.25478605
TKM,Turkmenistan,All,3.23,1.77,4.82,7.5,5.6,9.3,EUR,Europe,18.09,16.5,19.77,2014,45.1450348,262.22356214
THA,Thailand,Female,3.17,2.12,4.3,1.9,1.5,2.2,SEAR,South-East Asia,13.75,12.31,15.28,2014,13.62994276,78.28274282
JAM,Jamaica,All,3.35,1.53,5.26,11.5,7.7,15.2,AMR,Americas,27.81,25.93,29.73,2014,35.50218341,226.21514995
MLT,Malta,Female,3.3,2.05,4.7,23.4,18.5,28.3,EUR,Europe,28.32,24.25,32.57,2014,40.49535604,305.87332916
TUR,Türkiye,Male,3.44,1.03,6.19,44.6,36.4,52.9,EUR,Europe,22.54,20.85,24.37,2014,36.19910369,195.21374141
CRI,Costa Rica,All,3.39,1.7,5.13,10.9,8.5,13.2,AMR,Americas,26.17,24.56,27.8,2014,29.41350419,124.45270422
GRC,Greece,Female,3.41,2.29,4.61,34.0,26.7,41.2,EUR,Europe,25.37,23.29,27.45,2014,43.12062905,424.88072991
CYP,Cyprus,Female,3.41,2.26,4.66,22.9,18.3,27.5,EUR,Europe,19.78,14.43,25.99,2014,35.96491228,214.90477417
LCA,Saint Lucia,Female,3.53,2.17,4.89,3.9,2.8,5.0,AMR,Americas,39.32,35.78,42.89,2014,34.26573427,216.57219257
ISL,Iceland,Female,3.53,2.35,4.77,13.6,10.9,16.3,EUR,Europe,18.1,14.64,21.97,2014,31.23123123,191.25440207
ITA,Italy,Female,3.45,2.37,4.64,19.2,16.4,22.0,EUR,Europe,15.55,14.11,16.99,2014,40.18745751,396.62177316
PER,Peru,Female,3.58,2.26,4.95,4.4,3.5,5.4,AMR,Americas,24.09,23.16,24.98,2014,19.36025429,57.13725506
BRA,Brazil,Female,3.58,2.39,4.88,11.1,8.8,13.5,AMR,Americas,23.97,22.72,25.25,2014,30.42215635,157.37941908
CHL,Chile,Female,3.71,2.53,4.98,30.9,25.6,36.3,AMR,Americas,36.52,34.09,38.86,2014,28.95055037,153.97246635
HRV,Croatia,Female,3.76,2.14,5.44,33.8,27.0,40.6,EUR,Europe,22.94,20.73,25.3,2014,53.3353946,629.39321022
KOR,Republic of Korea,Female,3.94,2.68,5.35,6.2,5.0,7.5,WPR,Western Pacific,4.22,3.93,4.53,2014,25.1821452,119.39182955
ARG,Argentina,Female,4.0,2.77,5.33,21.5,17.9,25.1,AMR,Americas,28.67,26.64,30.69,2014,29.63805997,210.78941445
ECU,Ecuador,All,4.06,2.3,5.98,11.3,8.1,14.5,AMR,Americas,21.43,20.23,22.6,2014,23.0799765,91.1242841
ESP,Spain,Female,4.11,2.86,5.41,27.5,22.5,32.4,EUR,Europe,15.68,14.23,17.23,2014,32.84892849,270.21768124
UZB,Uzbekistan,Male,4.16,1.81,6.61,38.0,29.3,46.6,EUR,Europe,18.67,16.46,20.96,2014,58.20290922,307.59308267
KAZ,Kazakhstan,All,4.25,2.33,6.23,25.7,21.1,30.3,EUR,Europe,16.52,15.07,18.05,2014,27.17540468,207.31547199
SYC,Seychelles,Female,4.21,2.85,5.73,8.2,5.6,10.8,AFR,Africa,35.59,31.34,39.86,2014,31.33333333,203.98862872
USA,United States of America,Female,4.25,2.96,5.59,20.5,17.2,23.7,AMR,Americas,38.89,37.39,40.41,2014,30.73697849,247.69826397
SWE,Sweden,Female,4.3,2.85,5.74,22.0,18.6,25.5,EUR,Europe,13.79,11.85,15.87,2014,37.03476393,348.16933938
NLD,Netherlands (Kingdom of the),Female,4.3,3.01,5.72,22.5,18.3,26.6,EUR,Europe,14.29,12.15,16.66,2014,28.01447949,237.31740048
BHS,Bahamas,All,4.35,0.18,8.75,11.4,8.4,14.4,AMR,Americas,41.31,38.51,44.21,2014,31.77396943,185.08875356
CAN,Canada,Female,4.37,2.98,5.8,13.5,11.3,15.6,AMR,Americas,24.13,22.55,25.69,2014,26.91941278,191.73807088
DNK,Denmark,Female,4.36,3.05,5.8,20.5,17.3,23.7,EUR,Europe,10.78,9.53,12.16,2014,23.49716076,211.28069909
FIN,Finland,Female,4.38,3.07,5.79,21.1,17.5,24.8,EUR,Europe,19.76,18.27,21.36,2014,38.22565455,365.60522131
NZL,New Zealand,Female,4.61,3.22,6.19,15.2,12.7,17.8,WPR,Western Pacific,31.01,29.67,32.39,2014,33.79698518,224.98495865
SVK,Slovakia,Female,4.59,3.19,6.2,25.5,17.6,33.4,EUR,Europe,19.76,17.08,22.56,2014,49.70016501,444.53563863
BGR,Bulgaria,Female,4.6,3.34,5.98,37.4,30.3,44.6,EUR,Europe,16.49,14.58,18.48,2014,70.77711097,998.04404174
SLV,El Salvador,Male,4.72,2.26,7.52,18.7,13.6,23.8,AMR,Americas,19.27,15.86,22.78,2014,13.37239278,96.27334747
HUN,Hungary,Female,4.65,3.1,6.24,29.1,22.7,35.5,EUR,Europe,24.56,22.38,26.77,2014,54.64270166,680.1779719
PRT,Portugal,Female,4.71,3.3,6.15,18.8,14.8,22.8,EUR,Europe,19.62,17.46,21.88,2014,34.24527755,324.38259345
ISR,Israel,Male,4.84,2.46,7.56,30.2,24.6,35.7,EUR,Europe,21.45,19.21,23.6,2014,22.95471842,118.5670878
UKR,Ukraine,Female,4.75,3.22,6.4,12.2,10.3,14.1,EUR,Europe,26.01,22.82,29.28,2014,75.3635445,1053.1469733
GBR,United Kingdom of Great Britain and Northern Ireland,Female,4.77,3.38,6.2,17.4,14.9,19.9,EUR,Europe,25.97,25.09,26.89,2014,26.17528761,232.91162394
SVN,Slovenia,Female,4.84,3.49,6.34,19.9,16.3,23.5,EUR,Europe,13.73,12.74,14.76,2014,48.39842943,450.29628804
